年份,省份,院校代码,学校,专业名称,最低分,最低位次,选科要求,录取批次,隶属,办学层次,办学类型,学校性质,是否双一流,是否 985,是否 211,城市,网址
2023,浙江,10335,浙江大学,工科试验班（信息）（含计算机科学与技术、信息安全、软件工程、光电信息科学与工程、电子科学与技术、微电子科学与工程、信息工程、自动化、生物医学工程专业；收费6000元/年）,683,-,,本科一批,教育部,普通本科,综合类,公办,是,是,是,杭州市,https://www.gaokao.cn/school/114/provinceline
2023,浙江,10335,浙江大学,工科试验班（竺可桢学院图灵班）（含计算机科学与技术、信息安全、人工智能；收费6900元/年）,681,-,,本科一批,教育部,普通本科,综合类,公办,是,是,是,杭州市,https://www.gaokao.cn/school/114/provinceline
2023,浙江,10335,浙江大学,医学试验班（8年制）（含临床医学；收费6900元/年）,679,-,,本科一批,教育部,普通本科,综合类,公办,是,是,是,杭州市,https://www.gaokao.cn/school/114/provinceline
2023,浙江,10335,浙江大学,理科试验班类（含数学与应用数学、信息与计算科学、统计学、心理学、信息管理与信息系统；收费5300元/年）,679,-,,本科一批,教育部,普通本科,综合类,公办,是,是,是,杭州市,https://www.gaokao.cn/school/114/provinceline
2023,浙江,10335,浙江大学,工科试验班（电气与自动化）（含电气工程及其自动化、电子信息工程；收费6900元/年）,679,-,,本科一批,教育部,普通本科,综合类,公办,是,是,是,杭州市,https://www.gaokao.cn/school/114/provinceline
2023,浙江,10335,浙江大学,工科试验班（建筑与土木）（5年制）（含建筑学、城乡规划、土木、水利与交通工程；收费6000元/年）,678,-,,本科一批,教育部,普通本科,综合类,公办,是,是,是,杭州市,https://www.gaokao.cn/school/114/provinceline
2023,浙江,10335,浙江大学,科技与创意设计试验班（含工业设计；收费6900元/年）,678,-,,本科一批,教育部,普通本科,综合类,公办,是,是,是,杭州市,https://www.gaokao.cn/school/114/provinceline
2023,浙江,10335,浙江大学,工科试验班（机械与材料）（含机械工程、材料科学与工程；收费6000元/年）,677,-,,本科一批,教育部,普通本科,综合类,公办,是,是,是,杭州市,https://www.gaokao.cn/school/114/provinceline
2023,浙江,10335,浙江大学,工科试验班（能源、化工与高分子）（含车辆工程、能源与环境系统工程、化学工程与工艺、生物工程、高分子材料与工程；收费6000元/年）,677,-,,本科一批,教育部,普通本科,综合类,公办,是,是,是,杭州市,https://www.gaokao.cn/school/114/provinceline
2023,浙江,10335,浙江大学,机器人工程（竺可桢学院）（收费6900元/年）,677,-,,本科一批,教育部,普通本科,综合类,公办,是,是,是,杭州市,https://www.gaokao.cn/school/114/provinceline
2023,浙江,10335,浙江大学,社会科学试验班（含经济学、财政学、金融学、国际经济与贸易、教育学、会计学、工商管理、社会学、农林经济管理、信息资源管理、政治学与行政学、行政管理、劳动与社会保障、土地资源管理、法学；收费5300元/年）,677,-,,本科一批,教育部,普通本科,综合类,公办,是,是,是,杭州市,https://www.gaokao.cn/school/114/provinceline
2023,浙江,10335,浙江大学,工科试验班（中外合作办学，ZJUUIUC联合学院）（含机械工程、电子与计算机工程、电气工程及其自动化、土木工程；只招收有专业志愿的考生，在海宁国际校区就读；同时获浙江大学毕业证书、学士学位证书和美国伊利诺伊大学厄巴纳香槟校区学士学位证书；收费120000元/年）（中外合作办学）,636,5093,,本科一批,教育部,普通本科,综合类,公办,是,是,是,杭州市,https://www.gaokao.cn/school/114/provinceline
2023,浙江,10335,浙江大学,社会科学试验班（含经济学、财政学、金融学、国际经济与贸易、教育学、会计学、工商管理、社会学、农林经济管理、信息资源管理、政治学与行政学、行政管理、劳动与社会保障、土地资源管理、法学；收费5300元/年）,648,-,,本科一批,教育部,普通本科,综合类,公办,是,是,是,杭州市,https://www.gaokao.cn/school/114/provinceline
2023,浙江,10335,浙江大学,社会科学试验班（竺可桢学院人文社科实验班、智能财务班）（含新闻学、传播学、英语、翻译、德语、法语、西班牙语、日语、俄语、经济学、财政学、金融学、国际经济与贸易、教育学、信息资源管理、会计学、工商管理、社会学、农林经济管理、政治学与行政学、行政管理、劳动与社会保障、土地资源管理、法学；收费5300元/年）,648,-,,本科一批,教育部,普通本科,综合类,公办,是,是,是,杭州市,https://www.gaokao.cn/school/114/provinceline
